cmeID,observedTime,CME_Angular_Width,CME_Measurement_Position_Angle,CME_Linear_Speed,CME_2nd-order_Speed_At_Final_Height,CME_2nd-order_Speed_At_20_Rs,CME_Acceleration,CME_Mass,IMF_Magnitude_Avg,IMF_Bx,IMF_By_GSM,IMF_Bz_GSM,SW_Plasma_Speed,SW_Plasma_Temperature,SW_Proton_Density,R_Sunspot_Number,maxKP,OG_avgPredictedMaxKpLowerRange,OG_avgPredictedMaxKpUpperRange,OG_medianPredictedMaxKpLowerRange,OG_medianPredictedMaxKpUpperRange,OG_meanofavgPredictedMaxKpRange,ar_fixed,ar_source,ar_flag,ar_group,is_real,uid,storm_level
2013-06-21T03:24:00-CME-001,2013-06-21T03:24:00+00:00,207.0,107,1900.0,1907,1903,1.5,8700000000000000.0,8.183333333333332,5.633333333333333,-4.433333333333334,-1.5833333333333333,470.5,177114.5,8.033333333333333,139.0,4.0,4.5,5.5,4.5,5.5,5.0,,none,missing,-3,1,2013-06-21T03:24:00-CME-001,G0_quiet
2022-04-11T06:00:00-CME-001,2022-04-11T06:00:00+00:00,360.0,66,940.0,1039,1144,26.3,1800000000000000.0,3.8285714285714287,0.9571428571428572,-0.8999999999999998,-0.8,542.4285714285714,149399.2857142857,2.642857142857143,11.0,6.0,3.33333,5.14286,3.0,5.0,4.238095,,none,missing,-63,1,2022-04-11T06:00:00-CME-001,G2_moderate
2022-08-27T02:23:00-CME-001,2022-08-27T02:23:00+00:00,360.0,225,1284.0,1198,1261,-12.1,8900000000000000.0,6.983333333333333,1.9333333333333336,-6.099999999999999,-0.3,318.8333333333333,15988.833333333334,16.0,94.0,4.0,3.0,5.6,3.0,6.0,4.3,13088.0,direct,,13088,1,2022-08-27T02:23:00-CME-001,G0_quiet
2021-05-28T23:12:00-CME-001,2021-05-28T23:12:00+00:00,197.0,264,971.0,974,974,0.5,7000000000000000.0,6.983333333333332,-5.883333333333333,2.3666666666666667,2.3833333333333333,377.3333333333333,38556.833333333336,2.216666666666667,15.0,3.0,3.0,4.66667,3.0,5.0,3.833335,12824.0,direct,,12824,1,2021-05-28T23:12:00-CME-001,G0_quiet
2023-10-16T12:09:00-CME-001,2023-10-16T12:09:00+00:00,360.0,77,574.0,593,585,1.3,6400000000000000.0,2.5500000000000003,2.0500000000000003,-0.8166666666666668,0.6833333333333332,342.5,42184.5,3.5500000000000003,97.0,5.0,2.625,4.625,3.0,4.5,3.625,13467.0,direct,,13467,1,2023-10-16T12:09:00-CME-001,G1_minor
2024-03-23T01:25:00-CME-001,2024-03-23T01:25:00+00:00,360.0,13,1470.0,1385,1438,-14.9,1.6e+16,8.4,1.6,0.1833333333333335,-4.666666666666667,353.1666666666667,42392.833333333336,26.38333333333333,154.0,8.0,5.42857,7.57143,6.0,8.0,6.5,13614.0,direct,,13614,1,2024-03-23T01:25:00-CME-001,G4+_severe_extreme
2022-06-02T06:09:00-CME-001,2022-06-02T06:09:00+00:00,168.0,224,497.0,493,494,-0.3,4600000000000000.0,4.066666666666666,0.8000000000000002,-3.1,-0.6166666666666666,367.3333333333333,29881.666666666668,3.5500000000000003,59.0,3.0,3.33333,5.33333,3.0,5.0,4.33333,,none,missing,-65,1,2022-06-02T06:09:00-CME-001,G0_quiet
2014-02-19T16:00:00-CME-001,2014-02-19T16:00:00+00:00,267.0,189,571.0,512,510,-5.4,2900000000000000.0,11.27142857142857,-7.471428571428571,1.1142857142857143,5.957142857142857,520.7142857142857,53992.28571428572,4.071428571428571,126.0,4.0,3.33333,5.0,3.0,5.0,4.166665,,none,missing,-16,1,2014-02-19T16:00:00-CME-001,G0_quiet
2022-08-18T11:00:00-CME-001,2022-08-18T11:00:00+00:00,360.0,174,1327.0,1164,1216,-28.9,3700000000000000.0,9.142857142857142,5.085714285714286,-0.0428571428571428,-1.3285714285714283,585.8571428571429,226994.7142857143,5.5,87.0,4.0,3.16667,5.14286,3.0,5.0,4.154764999999999,13078.0,direct,,13078,1,2022-08-18T11:00:00-CME-001,G0_quiet
2014-01-30T16:24:00-CME-001,2014-01-30T16:24:00+00:00,360.0,117,1087.0,821,940,-39.1,1e+16,5.116666666666666,-2.583333333333333,3.75,1.45,360.6666666666667,35569.166666666664,1.0333333333333334,99.0,2.0,4.0,5.66667,4.0,6.0,4.833335,11967.0,linked_flr,,11967,1,2014-01-30T16:24:00-CME-001,G0_quiet
2022-08-16T15:24:00-CME-001,2022-08-16T15:24:00+00:00,92.0,184,467.0,585,551,7.6,750000000000000.0,3.4000000000000004,2.333333333333333,-0.6166666666666666,1.0333333333333334,363.1666666666667,30928.666666666668,5.166666666666666,123.0,5.0,3.66667,5.33333,4.0,6.0,4.5,13078.0,direct,,13078,1,2022-08-16T15:24:00-CME-001,G1_minor
2013-12-12T03:54:00-CME-001,2013-12-12T03:54:00+00:00,276.0,236,1002.0,876,943,-15.3,1.4e+16,2.733333333333334,0.1333333333333334,0.15,-1.866666666666667,319.0,26361.0,3.4,151.0,4.0,2.5,4.66667,2.5,4.0,3.583335,,none,missing,-13,1,2013-12-12T03:54:00-CME-001,G0_quiet
2021-05-23T11:38:00-CME-001,2021-05-23T11:38:00+00:00,138.0,273,384.0,267,245,-7.6,810000000000000.0,3.1,1.4833333333333334,-2.45,-0.9666666666666668,384.8333333333333,48306.833333333336,2.0,27.0,5.0,4.0,4.71429,4.0,5.0,4.357145,12824.0,direct,,12824,1,2021-05-23T11:38:00-CME-001,G1_minor
2023-02-11T11:12:00-CME-001,2023-02-11T11:12:00+00:00,360.0,22,1498.0,1371,1456,-22.0,1.1e+16,6.016666666666666,2.1,-3.65,2.516666666666667,474.6666666666667,160810.33333333334,2.5500000000000003,166.0,5.33,3.75,6.75,4.0,7.0,5.25,13216.0,direct,,13216,1,2023-02-11T11:12:00-CME-001,G1_minor
2015-06-18T17:24:00-CME-001,2015-06-18T17:24:00+00:00,360.0,92,1305.0,1182,1219,-23.7,1.8e+16,4.333333333333333,-1.1666666666666667,3.0666666666666664,1.1166666666666667,415.8333333333333,60561.66666666666,2.016666666666666,77.0,4.0,3.25,5.4,3.5,5.0,4.325,12371.0,direct,,12371,1,2015-06-18T17:24:00-CME-001,G0_quiet
2024-05-09T09:24:00-CME-001,2024-05-09T09:24:00+00:00,360.0,207,1280.0,1170,1224,-20.6,8100000000000000.0,3.283333333333333,-2.333333333333333,1.366666666666667,-0.4333333333333334,425.8333333333333,64124.333333333336,3.25,181.0,9.0,6.0,8.2,6.0,8.0,7.1,13664.0,direct,,13664,1,2024-05-09T09:24:00-CME-001,G4+_severe_extreme
2021-05-09T11:23:00-CME-001,2021-05-09T11:23:00+00:00,284.0,252,266.0,250,167,-2.4,250000000000000.0,5.433333333333334,-1.6333333333333335,4.583333333333333,0.15,338.0,25331.83333333333,9.283333333333331,20.0,7.0,3.33333,5.2,3.0,5.0,4.266665,,none,missing,-53,1,2021-05-09T11:23:00-CME-001,G3_strong
2018-08-20T21:24:00-CME-001,2018-08-20T21:24:00+00:00,120.0,266,126.0,216,363,5.4,220000000000000.0,3.233333333333333,1.4500000000000002,-0.8166666666666668,0.6166666666666667,647.0,220011.8333333333,2.2166666666666663,16.0,7.0,2.66667,4.75,3.0,4.5,3.708335,,none,missing,-45,1,2018-08-20T21:24:00-CME-001,G3_strong
2024-02-28T17:48:00-CME-001,2024-02-28T17:48:00+00:00,144.0,288,765.0,959,854,15.8,1e+16,2.716666666666667,1.95,-0.0333333333333333,0.2333333333333333,427.1666666666667,78557.66666666667,3.183333333333333,130.0,5.67,2.5,3.5,2.5,3.5,3.0,13590.0,direct,,13590,1,2024-02-28T17:48:00-CME-001,G1_minor
2015-09-18T04:30:00-CME-001,2015-09-18T04:30:00+00:00,131.0,188,823.0,1196,1030,35.5,7800000000000000.0,6.1000000000000005,-0.6500000000000002,2.9166666666666665,-3.533333333333333,407.3333333333333,53887.5,8.549999999999999,71.0,7.0,3.33333,5.75,4.0,5.5,4.541665,12415.0,direct,,12415,1,2015-09-18T04:30:00-CME-001,G3_strong
2022-01-16T20:48:00-CME-001,2022-01-16T20:48:00+00:00,201.0,329,475.0,457,455,-1.5,2300000000000000.0,5.433333333333333,0.5666666666666667,-2.2833333333333337,0.6166666666666666,601.3333333333334,243081.66666666663,3.9333333333333336,91.0,6.0,3.0,4.33333,3.0,5.0,3.666665,12929.0,direct,,12929,1,2022-01-16T20:48:00-CME-001,G2_moderate
2022-03-07T00:12:00-CME-001,2022-03-07T00:12:00+00:00,204.0,306,241.0,331,500,9.5,730000000000000.0,3.7000000000000006,1.9333333333333336,-0.85,-2.083333333333333,474.3333333333333,126854.83333333331,1.4833333333333334,89.0,4.0,2.8,4.4,3.0,4.0,3.6,12958.0,direct,,12958,1,2022-03-07T00:12:00-CME-001,G0_quiet
2015-06-19T06:42:00-CME-001,2015-06-19T06:42:00+00:00,360.0,177,584.0,865,735,19.5,1.2e+16,4.35,-2.5666666666666664,3.033333333333333,-0.9166666666666666,367.8333333333333,38954.833333333336,2.2333333333333334,68.0,5.0,3.75,6.0,4.0,6.0,4.875,12371.0,note,auto_fixed,12371,1,2015-06-19T06:42:00-CME-001,G1_minor
